playerName_x,playerPrice,playerPos,playerClub,playerImg_x,TotalPoints,Goals,Assists,BallsRecov,match_name,score,playerName_y,Team,OverallRating,playerImgy,TeamImg,FlagImg,Nation,Pace,Shooting,Passing,Dribbling,Defending,Physicality
Rodrygo,9.2,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132829.jpg?v=4.07,33,3,2,0,Rodrygo,100,Rodrygo,Real Madrid,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p243812.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Brazil,88,815,795,862,311,626
M. Ødegaard,9.1,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081341.jpg?v=4.07,29,2,1,12,Martin Ødegaard,84,Martin Ødegaard,Arsenal,87,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p222665.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,https://images.ctfassets.net/rs6bgs1g8dbr/2oqGDALzThEx7wBBMbyIqE/759a715ed2bf7146304a0736ede94430/f_36.png,Norway,724,816,882,873,613,641
L. Sané,9.1,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250063984.jpg?v=4.07,25,1,1,9,Leroy Sané,86,Leroy Sané,FC Bayern München,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p222492.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,913,81,80,85,38,682
L. Martínez,9.0,FWD,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250118281.jpg?v=4.07,21,2,0,1,Lautaro Martínez,86,Lautaro Martínez,Inter,87,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p231478.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/3P2xBSe9ichAyoiP8uzR7t/271e45d5b480a9ec7d42200e85677d79/44.png,https://images.ctfassets.net/rs6bgs1g8dbr/2WDsnQSFUeeDtN5E5VaRtQ/fd880af45fc99e56aac677d6bf583d77/f_52.png,Argentina,803,863,711,85,48,851
R. Kolo Muani,9.0,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250146926.jpg?v=4.07,14,1,0,6,Randal Kolo Muani,86,Randal Kolo Muani,Paris SG,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p237679.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,France,917,786,7310,866,38,675
T. Müller,8.9,FWD,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250003318.jpg?v=4.07,9,0,1,2,Thomas Müller,86,Thomas Müller,FC Bayern München,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p189596.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,5910,822,83,791,551,692
S. Gnabry,8.8,MID,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041770.jpg?v=4.07,9,1,0,2,Serge Gnabry,82,Serge Gnabry,FC Bayern München,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p206113.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Germany,811,84,781,841,43,681
Gonçalo Ramos,8.8,FWD,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250116654.jpg?v=4.07,5,0,0,1,Gonçalo Ramos,100,Gonçalo Ramos,Paris SG,80,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p256903.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/65jMMhRXpQl9A65F6kQtBe/c7b08b18574c48533c1526783bd9b601/73.png,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,Portugal,77,785,651,773,477,822
G. Jesus,8.6,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106649.jpg?v=4.07,37,4,2,7,Gabriel Jesus,86,Gabriel Jesus,Arsenal,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p230666.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Brazil,831,82,751,882,40,773
G. Martinelli,8.5,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134304.jpg?v=4.07,22,2,2,7,Gabriel Martinelli,86,Gabriel Martinelli,Arsenal,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p251566.png.adapt.50w.png,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Brazil,892,787,768,866,461,724
