playerName,match_name,score
T. Kaufmann,Tarek Buchmann,56
G. Veron,Gabriel Veron,86
K. Navas,Keylor Navas,86
J. Kwaaitaal,Saúl,60
J. Duranville,Julien Duranville,86
S. Bamba,Shurandy Sambo,61
W. Orbán,Willi Orban,71
J. Gonzaga,Jon Magunazelaia,54
Paco Esteban,Ramy Bensebaini,59
P. Marín,Pablo Marín,76
J. Van Duiven,Merel van Dongen,55
A. Alarcon,Alarcón,75
A. Muñoz,Aihen Muñoz,76
R. Lewis,Lewis Fiorini,86
A. Meret,Alex Meret,79
M. Akanji,Manuel Akanji,82
A. Christensen,Andreas Christensen,87
O. Romeu,Oriol Romeu,79
W. Benitez,Walter Benítez,70
Kepa,Kepa,100
J. Cuadrado,Juan Cuadrado,85
P. Aanholt,Patrick van Aanholt,86
Gonçalo Borges,Gonçalo Borges,100
I. Zubeldia,Zubeldia,95
Pepe,Pepe,100
D. Raum,Sabrina D'Angelo,86
R. Riquelme,Riquelme,95
S. Savić,Stefan Savić,86
N. Süle,Niklas Süle,86
M. Wolf,Marius Wolf,86
Francisco Conceição,Francisco Conceição,100
A. Haidara,Amadou Haidara,84
K. Asllani,Kristjan Asllani,86
M. Elneny,Mohamed Elneny,86
Çağlar Söyüncü,Çağlar Söyüncü,100
M. Lazzari,Manuel Lazzari,84
O. Boscagli,Olivier Boscagli,85
A. Lunin,Andriy Lunin,86
M. Olivera,Mathías Olivera,84
C. Sørensen,Christian Sørensen,86
J. Galán,Javi Galán,76
H. Traoré,Hamari Traoré,86
D. Vavro,Sabrina D'Angelo,86
F. Acerbi,Francesco Acerbi,86
F. Lopez,Giovanni Di Lorenzo,61
João Mário,João Mário,100
A. Barrenetxea,Barrenetxea,95
J. Ryerson,Julian Ryerson,84
S. Dest,Sergiño Dest,86
K. Phillips,Kalvin Phillips,85
M. Cho,Mohamed-Ali Cho,86
C. Azpilicueta,Azpilicueta,95
D. Namaso,Sabrina D'Angelo,86
D. Cataldi,Sabrina D'Angelo,86
Natan,Nathan Aké,72
Y. Sommer,Yann Sommer,82
K. Grabara,Kamil Grabara,84
R. Le Normand,Robin Le Normand,86
Lucas Vázquez,Lucas Vázquez,100
Castello Lukeba,Castello Lukeba,100
A. Varela,Alan Varela,82
A. Romagnoli,Alessio Romagnoli,86
J. Blaswich,Janis Blaswich,85
E. Hysaj,Elseid Hysaj,86
N. Aké,Nathan Aké,86
S. Ulreich,Sven Ulreich,84
A. Obispo,Armando Obispo,86
Cédric,Cédric,100
J. Magunacelaya,Jon Magunazelaia,77
T. Abed,Luis Alberto,57
S. Nhaga,Mauro Burruchaga,61
I. Grbić,Ivo Grbić,84
A. Dadie,Alphonso Davies,61
J. Castellanos,Deyna Castellanos,87
T. Jørgensen,Synne Jensen,61
I. Marcano,Marcano,95
T. Van Den Heuvel,Merel van Dongen,66
A. Kamara,Abdoulaye Kamara,86
T. Land,Ferland Mendy,71
D. Frey,Sabrina D'Angelo,86
Á. Calatrava,Saúl,60
J. Diaz,Khadija Shaw,57
S. El Jebari,El Chadaille Bitshiabu,86
Emir Bars,Romário Baró,63
E. Mbappe,Pepe,77
E. Bitshiabu,El Chadaille Bitshiabu,86
D. Muñoz,Sabrina D'Angelo,86
D. Peretz,Sabrina D'Angelo,86
Simon Schierack,Timo Schlieck,79
D. Gilbert,Sabrina D'Angelo,86
S. Guerrero,Raphaël Guerreiro,67
I. Houben,Hubert Idasiak,64
A. Meyer,Alexander Meyer,86
Bernardo Folha,Bernardo Silva,79
J. Olasagasti,Olasagasti,95
S. Sambo,Shurandy Sambo,86
J. Gorrotxategi,Patric,50
P. Gollini,Pierluigi Gollini,86
Gonzalo,Gonzalo Muscia,90
C. Ndour,Cher Ndour,79
W. Clem,William Clem,86
N. Sahsah,Saúl,60
Aitor Gismera,Mario Gila,61
A. Garrido,Aleix Garrido,84
W. Osawe,Saúl,60
A. Niño,Nicolò Barella,68
M. Tanlongo,Mateo Tanlongo,85
A. Lebarbier,Alejandra Bernabé,57
L. Johanns,Ole Pohlmann,64
M. Lotka,Marcel Lotka,86
E. Jelert,Elias Jelert,82
A. Marušic,Adam Marušić,73
L. Østigård,Leo Østigård,85
